1950.01   1.07  1.12  1.12  1.25  1.16  1.15
1950.07   1.16  1.20  1.30  1.31  1.36  1.34
1951.01   1.34  1.36  1.40  1.47  1.55  1.45
1951.07   1.56  1.62  1.63  1.54  1.56  1.73
1952.01   1.57  1.54  1.59  1.57  1.67  1.70
1952.07   1.81  1.83  1.71  1.74  1.85  2.09
1953.01   1.96  1.97  2.01  2.19  2.16  2.11
1953.07   2.04  2.04  1.79  1.38  1.44  1.60
1954.01   1.18  0.97  1.03  0.96  0.76  0.64
1954.07   0.72  0.92  1.01  0.98  0.93  1.14
1955.01   1.23  1.17  1.28  1.59  1.45  1.41
1955.07   1.60  1.90  2.07  2.23  2.25  2.54
1956.01   2.41  2.32  2.25  2.60  2.61  2.49
1956.07   2.31  2.60  2.84  2.90  2.99  3.21
1957.01   3.11  3.11  3.08  3.06  3.06  3.29
1957.07   3.16  3.37  3.53  3.58  3.29  3.04
1958.01   2.44  1.54  1.30  1.13  0.91  0.83
1958.07   0.91  1.69  2.44  2.63  2.67  2.77
1959.01   2.82  2.70  2.80  2.95  2.84  3.21
1959.07   3.20  3.38  4.04  4.05  4.15  4.49
1960.01   4.35  3.96  3.31  3.23  3.29  2.46
1960.07   2.30  2.30  2.48  2.30  2.37  2.25
1961.01   2.24  2.42  2.39  2.29  2.29  2.33
1961.07   2.24  2.39  2.28  2.30  2.48  2.60
1962.01   2.72  2.73  2.72  2.73  2.68  2.73
1962.07   2.92  2.82  2.78  2.74  2.83  2.87
1963.01   2.91  2.92  2.89  2.90  2.92  2.99
1963.07   3.18  3.32  3.38  3.45  3.52  3.52
1964.01   3.52  3.53  3.54  3.47  3.48  3.48
1964.07   3.46  3.50  3.53  3.57  3.64  3.84
1965.01   3.81  3.93  3.93  3.93  3.89  3.80
1965.07   3.84  3.84  3.92  4.03  4.09  4.38
1966.01   4.59  4.65  4.59  4.62  4.64  4.50
1966.07   4.80  4.96  5.37  5.35  5.32  4.96
1967.01   4.72  4.56  4.26  3.84  3.60  3.54
1967.07   4.21  4.27  4.42  4.56  4.73  4.97
1968.01   5.00  4.98  5.17  5.38  5.66  5.52
1968.07   5.31  5.09  5.19  5.35  5.45  5.96
1969.01   6.14  6.12  6.02  6.11  6.04  6.44
1969.07   7.00  6.98  7.09  7.00  7.24  7.82
1970.01   7.87  7.13  6.63  6.51  6.84  6.68
1970.07   6.45  6.41  6.13  5.91  5.28  4.87
1971.01   4.44  3.70  3.38  3.86  4.14  4.75
1971.07   5.40  4.94  4.69  4.46  4.22  4.01
1972.01   3.38  3.20  3.73  3.71  3.69  3.91
1972.07   3.98  4.02  4.66  4.74  4.78  5.07
1973.01   5.41  5.60  6.09  6.26  6.36  7.19
1973.07   8.01  8.67  8.29  7.22  7.83  7.45
1974.01   7.77  7.12  7.96  8.33  8.23  7.90
1974.07   7.55  8.96  8.06  7.46  7.47  7.15
1975.01   6.26  5.50  5.49  5.61  5.23  5.34
1975.07   6.13  6.44  6.42  5.96  5.48  5.44
1976.01   4.87  4.88  5.00  4.86  5.20  5.41
1976.07   5.23  5.14  5.08  4.92  4.75  4.35
1977.01   4.62  4.67  4.60  4.54  4.96  5.02
1977.07   5.19  5.49  5.81  6.16  6.10  6.07
1978.01   6.44  6.45  6.29  6.29  6.41  6.73
1978.07   7.01  7.08  7.85  7.99  8.64  9.08
1979.01   9.35  9.32  9.48  9.46  9.61  9.06
1979.07   9.24  9.52 10.26 11.70 11.79 12.04
1980.01  12.00 12.86 15.20 13.20  8.58  7.07
1980.07   8.06  9.13 10.27 11.62 13.73 15.49
1981.01  15.02 14.79 13.36 13.69 16.30 14.73
1981.07  14.95 15.51 14.70 13.54 10.86 10.85
1982.01  12.28 13.48 12.68 12.70 12.09 12.47
1982.07  11.35  8.68  7.92  7.71  8.07  7.94
1983.01   7.86  8.11  8.35  8.21  8.19  8.79
1983.07   9.08  9.34  9.00  8.64  8.76  9.00
1984.01   8.90  9.09  9.52  9.69  9.83  9.87
1984.07  10.12 10.47 10.37  9.74  8.61  8.06
1985.01   7.76  8.27  8.52  7.95  7.48  6.95
1985.07   7.08  7.14  7.10  7.16  7.24  7.10
1986.01   7.07  7.06  6.56  6.06  6.15  6.21
1986.07   5.83  5.53  5.21  5.18  5.35  5.53
1987.01   5.43  5.59  5.59  5.64  5.66  5.67
1987.07   5.69  6.04  6.40  6.13  5.69  5.77
1988.01   5.81  5.66  5.70  5.91  6.26  6.46 
